LGA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ashfield,51,57,83,80,68,80,91,103,93,136,108,116,110,91,81,101,111,82,108,106
Auburn,70,117,141,161,133,138,144,155,167,140,133,186,197,244,277,297,274,350,365,349
Bankstown,190,327,361,435,339,438,567,492,488,457,492,621,638,548,643,674,766,731,893,888
Blacktown,690,939,1192,1237,1402,1449,1622,1853,1745,1764,1702,1781,1720,1611,1795,1791,1898,1969,1866,1966
Botany Bay,65,107,110,166,128,132,130,135,117,120,125,116,161,125,118,126,129,143,104,110
Burwood,25,72,50,55,49,55,45,54,64,78,57,70,69,79,75,105,88,76,74,72
Camden,41,66,80,81,95,84,122,119,147,145,121,136,116,138,163,180,179,151,156,189
Campbelltown,436,618,701,789,717,787,854,961,998,1073,1042,1189,1108,990,1112,1038,985,910,962,993
Canada Bay,38,70,63,66,75,90,96,93,75,103,90,100,89,102,132,101,120,107,135,148
Canterbury,137,277,267,277,245,236,311,302,363,326,356,295,345,402,376,437,445,484,417,516
Fairfield,256,396,481,483,494,538,622,838,718,759,765,661,723,678,697,740,724,739,811,785
Holroyd,150,239,260,226,264,326,330,352,380,398,396,400,462,370,425,446,438,433,417,474
Hornsby,73,96,117,141,111,152,185,164,176,218,207,217,203,216,178,212,223,202,203,186
Hunters Hill,4,2,5,7,10,14,13,21,10,12,9,8,18,19,16,20,16,14,14,25
Hurstville,75,130,146,146,69,83,121,159,188,247,237,252,236,179,202,221,228,211,251,193
Kogarah,43,59,99,105,53,56,85,114,82,142,130,135,115,114,112,136,129,149,137,168
Ku-ring-gai,14,24,40,35,31,46,52,70,49,70,69,75,73,72,62,71,61,80,93,100
Lane Cove,11,21,19,29,23,37,22,52,31,30,31,28,25,23,27,22,47,33,23,33
Leichhardt,60,82,94,77,100,79,96,120,125,107,108,120,114,124,124,116,168,129,117,103
Liverpool,179,326,462,452,467,484,553,775,742,697,652,656,684,612,717,798,836,880,974,1016
Manly,47,54,64,56,53,67,55,71,71,57,73,68,68,60,72,71,96,75,77,70
Marrickville,143,193,244,318,286,287,264,305,365,372,345,388,359,289,228,278,298,311,304,258
Mosman,14,13,20,19,19,31,26,34,26,32,25,27,36,26,33,35,36,26,27,54
North Sydney,33,53,45,56,52,68,66,91,92,101,86,93,102,101,85,103,113,115,132,130
Parramatta,189,343,372,459,470,513,581,570,633,547,621,658,665,608,651,627,707,768,780,778
Penrith,248,428,623,644,649,667,762,667,752,811,787,786,912,902,863,943,1011,879,1002,1066
Pittwater,28,31,45,39,54,89,76,99,127,85,87,101,63,69,86,82,109,97,90,78
Rockdale,107,201,198,239,169,204,264,246,219,222,261,225,271,267,309,280,251,250,284,334
Ryde,78,87,95,89,119,153,139,184,171,201,156,138,191,148,180,127,128,150,168,153
Randwick,114,185,300,261,255,230,264,335,319,303,300,334,410,420,327,314,341,378,334,347
Strathfield,18,44,62,50,70,41,43,41,65,53,46,48,57,99,81,107,115,104,121,113
Sutherland Shire,126,333,382,372,341,328,398,426,359,356,321,416,499,463,463,501,489,447,374,441
Sydney,191,417,474,436,481,574,644,693,717,762,707,839,850,869,887,907,877,879,969,1011
Warringah,113,164,137,158,175,241,235,304,352,275,240,205,227,218,243,238,289,232,236,244
Waverley,53,103,115,133,109,97,125,164,161,135,141,141,171,155,139,144,134,116,149,144
Willoughby,22,31,49,47,30,73,64,95,80,106,80,71,81,49,53,59,65,86,87,69
TOTAL,4132,6705,7996,8424,8205,8967,10067,11257,11267,11440,11106,11700,12168,11480,12032,12448,12924,12786,13254,13710
